DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
20122,"Hodgkin's sarcoma, intrathoracic lymph nodes",Hodgkins sarcoma thorax
20123,"Hodgkin's sarcoma, intra-abdominal lymph nodes",Hodgkins sarcoma abdom
20124,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb",Hodgkins sarcoma axilla
20125,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb",Hodgkins sarcoma inguin
20126,"Hodgkin's sarcoma, intrapelvic lymph nodes",Hodgkins sarcoma pelvic
20127,"Hodgkin's sarcoma, spleen",Hodgkins sarcoma spleen
20128,"Hodgkin's sarcoma, lymph nodes of multiple sites",Hodgkins sarcoma mult
20140,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",Lym-hst unsp xtrndl orgn
20141,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",Hodg lymph-histio head
20142,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes",Hodg lymph-histio thorax
20143,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes",Hodg lymph-histio abdom
20144,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb",Hodg lymph-histio axilla
20145,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb",Hodg lymph-histio inguin
20146,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",Hodg lymph-histio pelvic
20147,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen",Hodg lymph-histio spleen
20148,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",Hodg lymph-histio mult
20150,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",Ndr sclr unsp xtrndl org
20151,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",Hodg nodul sclero head
20152,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",Hodg nodul sclero thorax
20153,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes",Hodg nodul sclero abdom
20154,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb",Hodg nodul sclero axilla
20155,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb",Hodg nodul sclero inguin
20156,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",Hodg nodul sclero pelvic
20157,"Hodgkin's disease, nodular sclerosis, spleen",Hodg nodul sclero spleen
20158,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",Hodg nodul sclero mult
20160,"Hodgkin's disease, mixed cellularity, unspecified site,  extranodal and solid organ sites",Mxd celr unsp xtrndl org
20161,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck",Hodgkins mix cell head
20162,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes",Hodgkins mix cell thorax
20163,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes",Hodgkins mix cell abdom
20164,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb",Hodgkins mix cell axilla
20165,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",Hodgkins mix cell inguin
20166,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes",Hodgkins mix cell pelvic
20167,"Hodgkin's disease, mixed cellularity, spleen",Hodgkins mix cell spleen
20168,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites",Hodgkins mix cell mult
20170,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites",Lym dplt unsp xtrndl org
20171,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",Hodg lymph deplet head
20172,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes",Hodg lymph deplet thorax
20173,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes",Hodg lymph deplet abdom
20174,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb",Hodg lymph deplet axilla
20175,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb",Hodg lymph deplet inguin
20176,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes",Hodg lymph deplet pelvic
20177,"Hodgkin's disease, lymphocytic depletion, spleen",Hodg lymph deplet spleen
20178,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites",Hodg lymph deplet mult
20190,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",Hdgk dis unsp xtrndl org
20191,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",Hodgkins dis NOS head
20192,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",Hodgkins dis NOS thorax
20193,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes",Hodgkins dis NOS abdom
20194,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",Hodgkins dis NOS axilla
20195,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb",Hodgkins dis NOS inguin
20196,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes",Hodgkins dis NOS pelvic
20197,"Hodgkin's disease, unspecified type, spleen",Hodgkins dis NOS spleen
20198,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",Hodgkins dis NOS mult
20200,"Nodular lymphoma, unspecified site, extranodal and solid organ sites",Ndlr lym unsp xtrndl org
20201,"Nodular lymphoma, lymph nodes of head, face, and neck",Nodular lymphoma head
20202,"Nodular lymphoma, intrathoracic lymph nodes",Nodular lymphoma thorax
20203,"Nodular lymphoma, intra-abdominal lymph nodes",Nodular lymphoma abdom
20204,"Nodular lymphoma, lymph nodes of axilla and upper limb",Nodular lymphoma axilla
20205,"Nodular lymphoma, lymph nodes of inguinal region and lower limb",Nodular lymphoma inguin
20206,"Nodular lymphoma, intrapelvic lymph nodes",Nodular lymphoma pelvic
20207,"Nodular lymphoma, spleen",Nodular lymphoma spleen
20208,"Nodular lymphoma, lymph nodes of multiple sites",Nodular lymphoma mult
20210,"Mycosis fungoides, unspecified site,  extranodal and solid organ sites",Mycs fng unsp xtrndl org
20211,"Mycosis fungoides, lymph nodes of head, face, and neck",Mycosis fungoides head
20212,"Mycosis fungoides, intrathoracic lymph nodes",Mycosis fungoides thorax
20213,"Mycosis fungoides, intra-abdominal lymph nodes",Mycosis fungoides abdom
20214,"Mycosis fungoides, lymph nodes of axilla and upper limb",Mycosis fungoides axilla
20215,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",Mycosis fungoides inguin
20216,"Mycosis fungoides, intrapelvic lymph nodes",Mycosis fungoides pelvic
20217,"Mycosis fungoides, spleen",Mycosis fungoides spleen
20218,"Mycosis fungoides, lymph nodes of multiple sites",Mycosis fungoides mult
20220,"Sezary's disease, unspecified site,  extranodal and solid organ sites",Szry dis unsp xtrndl org
20221,"Sezary's disease, lymph nodes of head, face, and neck",Sezary's disease head
20222,"Sezary's disease, intrathoracic lymph nodes",Sezary's disease thorax
20223,"Sezary's disease, intra-abdominal lymph nodes",Sezary's disease abdom
20224,"Sezary's disease, lymph nodes of axilla and upper limb",Sezary's disease axilla
20225,"Sezary's disease, lymph nodes of inguinal region and lower limb",Sezary's disease inguin
20226,"Sezary's disease, intrapelvic lymph nodes",Sezary's disease pelvic
20227,"Sezary's disease, spleen",Sezary's disease spleen
20228,"Sezary's disease, lymph nodes of multiple sites",Sezary's disease mult
20230,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",Mlg hist unsp xtrndl org
20231,"Malignant histiocytosis, lymph nodes of head, face, and neck",Mal histiocytosis head
20232,"Malignant histiocytosis, intrathoracic lymph nodes",Mal histiocytosis thorax
20233,"Malignant histiocytosis, intra-abdominal lymph nodes",Mal histiocytosis abdom
20234,"Malignant histiocytosis, lymph nodes of axilla and upper limb",Mal histiocytosis axilla
20235,"Malignant histiocytosis, lymph nodes of inguinal region and lower limb",Mal histiocytosis inguin
20236,"Malignant histiocytosis, intrapelvic lymph nodes",Mal histiocytosis pelvic
20237,"Malignant histiocytosis, spleen",Mal histiocytosis spleen
20238,"Malignant histiocytosis, lymph nodes of multiple sites",Mal histiocytosis mult
20240,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites",Lk rtctl unsp xtrndl org
20241,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck",Hairy-cell leukem head
20242,"Leukemic reticuloendotheliosis, intrathoracic lymph nodes",Hairy-cell leukem thorax
20243,"Leukemic reticuloendotheliosis, intra-abdominal lymph nodes",Hairy-cell leukem abdom
20244,"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm",Hairy-cell leukem axilla
20245,"Leukemic reticuloendotheliosis, lymph nodes of inguinal region and lower limb",Hairy-cell leukem inguin
20246,"Leukemic reticuloendotheliosis, intrapelvic lymph nodes",Hairy-cell leukem pelvic
20247,"Leukemic reticuloendotheliosis, spleen",Hairy-cell leukem spleen
20248,"Leukemic reticuloendotheliosis, lymph nodes of multipes sites",Hairy-cell leukem mult
20250,"Letterer-siwe disease, unspecified site, extranodal and solid organ sites",Ltr-siwe unsp xtrndl org
20251,"Letterer-siwe disease, lymph nodes of head, face, and neck",Letterer-siwe dis head
20252,"Letterer-siwe disease, intrathoracic lymph nodes",Letterer-siwe dis thorax
20253,"Letterer-siwe disease, intra-abdominal lymph nodes",Letterer-siwe dis abdom
20254,"Letterer-siwe disease, lymph nodes of axilla and upper limb",Letterer-siwe dis axilla
20255,"Letterer-siwe disease, lymph nodes of inguinal region and lower limb",Letterer-siwe dis inguin
20256,"Letterer-siwe disease, intrapelvic lymph nodes",Letterer-siwe dis pelvic
20257,"Letterer-siwe disease, spleen",Letterer-siwe dis spleen
20258,"Letterer-siwe disease, lymph nodes of multiple sites",Letterer-siwe dis mult
20260,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites",Mlg mast unsp xtrndl org
20261,"Malignant mast cell tumors, lymph nodes of head, face, and neck",Mal mastocytosis head
20262,"Malignant mast cell tumors, intrathoracic lymph nodes",Mal mastocytosis thorax
20263,"Malignant mast cell tumors, intra-abdominal lymph nodes",Mal mastocytosis abdom
20264,"Malignant mast cell tumors, lymph nodes of axilla and upper limb",Mal mastocytosis axilla
20265,"Malignant mast cell tumors, lymph nodes of inguinal region and lower limb",Mal mastocytosis inguin
20266,"Malignant mast cell tumors, intrapelvic lymph nodes",Mal mastocytosis pelvic
20267,"Malignant mast cell tumors, spleen",Mal mastocytosis spleen
20268,"Malignant mast cell tumors, lymph nodes of multiple sites",Mal mastocytosis mult
20270,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites",Periph T cell lym xtrndl
20271,"Peripheral T cell lymphoma, lymph nodes of head, face, and neck",Periph T cell lymph head
20272,"Peripheral T cell lymphoma, intrathoracic lymph nodes",Periph T cell lym thorax
20273,"Peripheral T cell lymphoma, intra-abdominal lymph nodes",Periph T cell lym abdom
20274,"Peripheral T cell lymphoma, lymph nodes of axilla and upper limb",Periph T cell lym axilla
20275,"Peripheral T cell lymphoma, lymph nodes of inguinal region and lower limb",Periph T cell lym inguin
20276,"Peripheral T cell lymphoma, intrapelvic lymph nodes",Periph T cell lym pelvic
20277,"Peripheral T cell lymphoma, spleen",Periph T cell lym spleen
20278,"Peripheral T cell lymphoma, lymph nodes of multiple sites",Periph T cell lym multip
20280,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",Oth lymp unsp xtrndl org
20281,"Other malignant lymphomas, lymph nodes of head, face, and neck",Lymphomas NEC head
20282,"Other malignant lymphomas, intrathoracic lymph nodes",Lymphomas NEC thorax
20283,"Other malignant lymphomas, intra-abdominal lymph nodes",Lymphomas NEC abdom
20284,"Other malignant lymphomas, lymph nodes of axilla and upper limb",Lymphomas NEC axilla
20285,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb",Lymphomas NEC inguin
20286,"Other malignant lymphomas,  intrapelvic lymph nodes",Lymphomas NEC pelvic
20287,"Other malignant lymphomas, spleen",Lymphomas NEC spleen
20288,"Other malignant lymphomas, lymph nodes of multiple sites",Lymphomas NEC mult
20290,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, unspecified site, extranodal and solid organ sites",Unsp lym unsp xtrndl org
20291,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of head, face, and neck",Lymphoid mal NEC head
20292,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue,  intrathoracic lymph nodes",Lymphoid mal NEC thorax
20293,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intra-abdominal lymph nodes",Lymphoid mal NEC abdom
20294,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of axilla and upper limb",Lymphoid mal NEC axilla
20295,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb",Lymphoid mal NEC inguin
20296,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes",Lymphoid mal NEC pelvic
20297,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, spleen",Lymphoid mal NEC spleen
20298,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of multiple sites",Lymphoid mal NEC mult
20300,"Multiple myeloma, without mention of having achieved remission",Mult mye w/o achv rmson
20301,"Multiple myeloma, in remission",Mult myelm w remission
20302,"Multiple myeloma, in relapse",Mult myeloma in relapse
20310,"Plasma cell leukemia, without mention of having achieved remission",Pls cl leu w/o achv rmsn
20311,"Plasma cell leukemia, in remission",Plsm cell leuk w rmson
20312,"Plasma cell leukemia, in relapse",Plsm cel leuk in relapse
20380,"Other immunoproliferative neoplasms, without mention of having achieved remission",Oth imno npl wo ach rmsn
20381,"Other immunoproliferative neoplasms, in remission",Oth imnprfl npl w rmsn
20382,"Other immunoproliferative neoplasms, in relapse",Oth imnprlf neo-relapse
20400,"Acute lymphoid leukemia, without mention of having achieved remission",Ac lym leuk wo achv rmsn
20401,"Acute lymphoid leukemia, in remission",Act lym leuk w rmsion
20402,"Acute lymphoid leukemia, in relapse",Act lymp leuk in relapse
20410,"Chronic lymphoid leukemia, without mention of having achieved remission",Ch lym leuk wo achv rmsn
20411,"Chronic lymphoid leukemia, in remission",Chr lym leuk w rmsion
20412,"Chronic lymphoid leukemia, in relapse",Chr lymp leuk in relapse
20420,"Subacute lymphoid leukemia, without mention of having achieved remission",Sbac lym leu wo ach rmsn
20421,"Subacute lymphoid leukemia,  in remission",Sbac lym leuk w rmsion
20422,"Subacute lymphoid leukemia, in relapse",Sbac lym leuk in relapse
20480,"Other lymphoid leukemia, without mention of having achieved remission",Oth lym leu wo achv rmsn
20481,"Other lymphoid leukemia, in remission",Oth lym leuk w rmsion
20482,"Other lymphoid leukemia, in relapse",Oth lym leuk in relapse
20490,"Unspecified lymphoid leukemia, without mention of having achieved remission",Uns lym leu wo ach rmsn
20491,"Unspecified lymphoid leukemia, in remission",Uns lym leuk w rmsion
20492,"Unspecified lymphoid leukemia, in relapse",Lymp leuk NOS relapse
20500,"Acute myeloid leukemia, without mention of having achieved remission",Ac myl leuk wo achv rmsn
20501,"Acute myeloid leukemia, in remission",Act myl leuk w rmsion
20502,"Acute myeloid leukemia, in relapse",Act myel leuk in relapse
20510,"Chronic myeloid leukemia, without mention of having achieved remission",Ch myl leuk wo achv rmsn
20511,"Chronic myeloid leukemia, in remission",Chr myl leuk w rmsion
20512,"Chronic myeloid leukemia, in relapse",Chr myel leuk in relapse
20520,"Subacute myeloid leukemia, without mention of having achieved remission",Sbac myl leu wo ach rmsn
20521,"Subacute myeloid leukemia,in remission",Sbac myl leuk w rmsion
20522,"Subacute myeloid leukemia, in relapse",Sbac myl leuk in relapse
20530,"Myeloid sarcoma, without mention of having achieved remission",Myl sarcoma wo achv rmsn
20531,"Myeloid sarcoma, in remission",Myl srcoma w rmsion
20532,"Myeloid sarcoma, in relapse",Myel sarcoma in relapse
20580,"Other myeloid leukemia, without mention of having achieved remission",Oth my leuk wo achv rmsn
20581,"Other myeloid leukemia, in remission",Oth myl leuk w rmsion
20582,"Other myeloid leukemia, in relapse",Oth myel leuk in relapse
20590,"Unspecified myeloid leukemia, without mention of having achieved remission",Uns my leu wo ach rmsn
20591,"Unspecified myeloid leukemia, in remission",Uns myl leuk w rmsion
20592,"Unspecified myeloid leukemia, in relapse",Myel leuk NOS in relapse
20600,"Acute monocytic leukemia, without mention of having achieved remission",Ac mono leu wo achv rmsn
20601,"Acute monocytic leukemia,in remission",Act mono leuk w rmsion
20602,"Acute monocytic leukemia, in relapse",Act mono leuk in relapse
20610,"Chronic monocytic leukemia, without mention of having achieved remission",Ch mono leu wo achv rmsn
20611,"Chronic monocytic leukemia, in remission",Chr mono leuk w rmsion
20612,"Chronic monocytic leukemia, in relapse",Chr mono leuk in relapse
20620,"Subacute monocytic leukemia, without mention of having achieved remission",Sbac mno leu wo ach rmsn
20621,"Subacute monocytic leukemia, in remission",Sbac mono leuk w rmsion
20622,"Subacute monocytic leukemia, in relapse",Sbac mono leu in relapse
20680,"Other monocytic leukemia, without mention of having achieved remission",Ot mono leu wo achv rmsn
20681,"Other monocytic leukemia, in remission",Oth mono leuk w rmsion
20682,"Other monocytic leukemia, in relapse",Oth mono leuk in relapse
20690,"Unspecified monocytic leukemia, without mention of having achieved remission",Uns mno leu wo ach rmsn
20691,"Unspecified monocytic leukemia, in remission",Uns mono leuk w rmsion
20692,"Unspecified monocytic leukemia, in relapse",Mono leuk NOS relapse
20700,"Acute erythremia and erythroleukemia, without mention of having achieved remission",Ac erth/erlk wo ach rmsn
20701,"Acute erythremia and erythroleukemia, in remission",Act erth/erylk w rmson
20702,"Acute erythremia and erythroleukemia, in relapse",Ac erth/erylk in relapse
20710,"Chronic erythremia, without mention of having achieved remission",Chr erythrm w/o ach rmsn
20711,"Chronic erythremia, in remission",Chr erythrm w remision
20712,"Chronic erythremia, in relapse",Chr erythrmia in relapse
20720,"Megakaryocytic leukemia, without mention of having achieved remission",Mgkrcyt leuk wo ach rmsn
20721,"Megakaryocytic leukemia, in remission",Mgkrycyt leuk w rmsion
20722,"Megakaryocytic leukemia, in relapse",Mgkrycyt leuk in relapse
20780,"Other specified leukemia, without mention of having achieved remission",Oth leuk w/o achv rmsn
20781,"Other specified leukemia, in remission",Oth spf leuk w remsion
20782,"Other specified leukemia, in relapse",Oth spf leuk in relapse
20800,"Acute leukemia of unspecified cell type, without mention of having achieved remission",Ac leu un cl wo ach rmsn
20801,"Acute leukemia of unspecified cell type, in remission",Act leuk uns cl w rmson
20802,"Acute leukemia of unspecified cell type, in relapse",Ac leuk uns cl relapse
20810,"Chronic leukemia of unspecified cell type, without mention of having achieved remission",Ch leu un cl wo ach rmsn
20811,"Chronic leukemia of unspecified cell type, in remission",Chr leuk uns cl w rmson
20812,"Chronic leukemia of unspecified cell type, in relapse",Ch leu uns cl in relapse
20820,"Subacute leukemia of unspecified cell type, without mention of having achieved remission",Sbc leu un cl wo ah rmsn
20821,"Subacute leukemia of unspecified cell type, in remission",Sbac leuk uns cl w rmson
20822,"Subacute leukemia of unspecified cell type, in relapse",Sbac leu uns cl-relapse
20880,"Other leukemia of unspecified cell type, without mention of having achieved remission",Ot leu un cl wo ach rmsn
20881,"Other leukemia of unspecified cell type, in remission",Oth leuk uns cl w rmson
20882,"Other leukemia of unspecified cell type, in relapse",Oth leuk uns cl-relapse
20890,"Unspecified leukemia, without mention of having achieved remission",Leuk NOS w/o achv rmsn
20891,"Unspecified leukemia, in remission",Leukemia NOS w remission
20892,"Unspecified leukemia, in relapse",Leukemia NOS in relapse
20900,"Malignant carcinoid tumor of the small intestine, unspecified portion",Mal crcnoid sm intst NOS
20901,Malignant carcinoid tumor of the duodenum,Malig carcinoid duodenum
20902,Malignant carcinoid tumor of the jejunum,Malig carcinoid jejunum
20903,Malignant carcinoid tumor of the ileum,Malig carcinoid ileum
20910,"Malignant carcinoid tumor of the large intestine, unspecified portion",Mal crcnoid lg intst NOS
20911,Malignant carcinoid tumor of the appendix,Malig carcinoid appendix
20912,Malignant carcinoid tumor of the cecum,Malig carcinoid cecum
20913,Malignant carcinoid tumor of the ascending colon,Mal crcnoid ascend colon
20914,Malignant carcinoid tumor of the transverse colon,Mal crcnoid transv colon
20915,Malignant carcinoid tumor of the descending colon,Mal carcinoid desc colon
20916,Malignant carcinoid tumor of the sigmoid colon,Mal carcinoid sig colon
20917,Malignant carcinoid tumor of the rectum,Malig carcinoid rectum
20920,Malignant carcinoid tumor of unknown primary site,Mal crcnd prim site unkn
20921,Malignant carcinoid tumor of the bronchus and lung,Mal carcinoid bronc/lung
20922,Malignant carcinoid tumor of the thymus,Malig carcinoid thymus
20923,Malignant carcinoid tumor of the stomach,Malig carcinoid stomach
20924,Malignant carcinoid tumor of the kidney,Malig carcinoid kidney
20925,"Malignant carcinoid tumor of foregut, not otherwise specified",Mal carcnoid foregut NOS
20926,"Malignant carcinoid tumor of midgut, not otherwise specified",Mal carcinoid midgut NOS
20927,"Malignant carcinoid tumor of hindgut, not otherwise specified",Mal carcnoid hindgut NOS
20929,Malignant carcinoid tumor of other sites,Malig carcinoid oth site
20930,"Malignant poorly differentiated neuroendocrine carcinoma, any site",Malig neuroendo ca NOS
20931,Merkel cell carcinoma of the face,Merkel cell ca-face
20932,Merkel cell carcinoma of the scalp and neck,Merkel cell ca-sclp/neck
20933,Merkel cell carcinoma of the upper limb,Merkel cell ca-up limb
20934,Merkel cell carcinoma of the lower limb,Merkel cell ca-low limb
20935,Merkel cell carcinoma of the trunk,Merkel cell ca-trunk
20936,Merkel cell carcinoma of other sites,Merkel cell ca-oth sites
20940,"Benign carcinoid tumor of the small intestine, unspecified portion",Ben crcnoid sm intst NOS
20941,Benign carcinoid tumor of the duodenum,Ben carcinoid duodenum
20942,Benign carcinoid tumor of the jejunum,Benign carcinoid jejunum
20943,Benign carcinoid tumor of the ileum,Benign carcinoid ileum
20950,"Benign carcinoid tumor of the large intestine, unspecified portion",Ben crcnoid lg intst NOS
20951,Benign carcinoid tumor of the appendix,Ben carcinoid appendix
20952,Benign carcinoid tumor of the cecum,Benign carcinoid cecum
20953,Benign carcinoid tumor of the ascending colon,Ben carcinoid asc colon
20954,Benign carcinoid tumor of the transverse colon,Ben crcinoid trans colon
20955,Benign carcinoid tumor of the descending colon,Ben carcinoid desc colon
20956,Benign carcinoid tumor of the sigmoid colon,Ben carcinoid sig colon
20957,Benign carcinoid tumor of the rectum,Benign carcinoid rectum
20960,Benign carcinoid tumor of unknown primary site,Ben crcnd prim site unkn
20961,Benign carcinoid tumor of the bronchus and lung,Ben carcinoid bronc/lung
20962,Benign carcinoid tumor of the thymus,Benign carcinoid thymus
20963,Benign carcinoid tumor of the stomach,Benign carcinoid stomach
20964,Benign carcinoid tumor of the kidney,Benign carcinoid kidney
20965,"Benign carcinoid tumor of foregut, not otherwise specified",Ben crcinoid foregut NOS
20966,"Benign carcinoid tumor of midgut, not otherwise specified",Ben crcinoid midgut NOS
20967,"Benign carcinoid tumor of hindgut, not otherwise specified",Ben crcnoid hindgut NOS
20969,Benign carcinoid tumor of other sites,Bengn carcinoid oth site
20970,"Secondary neuroendocrine tumor, unspecified site",Sec neuroendo tumor NOS
20971,Secondary neuroendocrine tumor of distant lymph nodes,Sec neuroend tu dist lym
20972,Secondary neuroendocrine tumor of liver,Sec neuroend tumor-liver
20973,Secondary neuroendocrine tumor of bone,Sec neuroendo tumor-bone
20974,Secondary neuroendocrine tumor of peritoneum,Sec neuroendo tu-periton
20975,Secondary Merkel cell carcinoma,Secondary Merkel cell ca
20979,Secondary neuroendocrine tumor of other sites,Sec neuroend tu oth site
2100,Benign neoplasm of lip,Benign neoplasm lip
2101,Benign neoplasm of tongue,Benign neoplasm tongue
2102,Benign neoplasm of major salivary glands,Ben neo major salivary
2103,Benign neoplasm of floor of mouth,Benign neo mouth floor
2104,Benign neoplasm of other and unspecified parts of mouth,Benign neo mouth NEC/NOS
2105,Benign neoplasm of tonsil,Benign neoplasm tonsil
2106,Benign neoplasm of other parts of oropharynx,Benign neo oropharyn NEC
2107,Benign neoplasm of nasopharynx,Benign neo nasopharynx
2108,Benign neoplasm of hypopharynx,Benign neo hypopharynx
2109,"Benign neoplasm of pharynx, unspecified",Benign neo pharynx NOS
2110,Benign neoplasm of esophagus,Benign neo esophagus
2111,Benign neoplasm of stomach,Benign neoplasm stomach
2112,"Benign neoplasm of duodenum, jejunum, and ileum",Benign neoplasm sm bowel
2113,Benign neoplasm of colon,Benign neoplasm lg bowel
2114,Benign neoplasm of rectum and anal canal,Benign neopl rectum/anus
2115,Benign neoplasm of liver and biliary passages,Ben neo liver/bile ducts
2116,"Benign neoplasm of pancreas, except islets of Langerhans",Benign neoplasm pancreas
2117,Benign neoplasm of islets of Langerhans,Ben neo islets langerhan
2118,Benign neoplasm of retroperitoneum and peritoneum,Ben neo peritoneum
2119,Benign neoplasm of other and unspecified site in the digestive system,Ben neo GI tract NEC/NOS
2120,"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses",Ben neo nasal cav/sinus
2121,Benign neoplasm of larynx,Benign neo larynx
2122,Benign neoplasm of trachea,Benign neo trachea
2123,Benign neoplasm of bronchus and lung,Benign neo bronchus/lung
2124,Benign neoplasm of pleura,Benign neoplasm pleura
2125,Benign neoplasm of mediastinum,Benign neo mediastinum
2126,Benign neoplasm of thymus,Benign neoplasm thymus
2127,Benign neoplasm of heart,Benign neoplasm heart
2128,Benign neoplasm of other specified sites of respiratory and intrathoracic organs,Benign neo resp sys NEC
2129,"Benign neoplasm of respiratory and intrathoracic organs, site unspecified",Benign neo resp sys NOS
2130,Benign neoplasm of bones of skull and face,Ben neo skull/face bone
2131,Benign neoplasm of lower jaw bone,Ben neo lower jaw bone
2132,"Benign neoplasm of vertebral column, excluding sacrum and coccyx",Benign neo vertebrae
2133,"Benign neoplasm of ribs, sternum, and clavicle",Ben neo ribs/stern/clav
2134,Benign neoplasm of scapula and long bones of upper limb,Ben neo long bones arm
2135,Benign neoplasm of short bones of upper limb,Ben neo bones wrist/hand
2136,"Benign neoplasm of pelvic bones, sacrum, and coccyx",Benign neo pelvic girdle
2137,Benign neoplasm of long bones of lower limb,Ben neo long bones leg
2138,Benign neoplasm of short bones of lower limb,Ben neo bones ankle/foot
2139,"Benign neoplasm of bone and articular cartilage, site unspecified",Benign neo bone NOS
2140,Lipoma of skin and subcutaneous tissue of face,Lipoma skin face
2141,Lipoma of other skin and subcutaneous tissue,Lipoma skin NEC
2142,Lipoma of intrathoracic organs,Lipoma intrathoracic
2143,Lipoma of intra-abdominal organs,Lipoma intra-abdominal
2144,Lipoma of spermatic cord,Lipoma spermatic cord
2148,Lipoma of other specified sites,Lipoma NEC
2149,"Lipoma, unspecified site",Lipoma NOS
2150,"Other benign neoplasm of connective and other soft tissue of head, face, and neck",Ben neo soft tissue head
2152,"Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder",Ben neo soft tissue arm
2153,"Other benign neoplasm of connective and other soft tissue of lower limb, including hip",Ben neo soft tissue leg
2154,Other benign neoplasm of connective and other soft tissue of thorax,Ben neo soft tis thorax
2155,Other benign neoplasm of connective and other soft tissue of abdomen,Ben neo soft tis abdomen
2156,Other benign neoplasm of connective and other soft tissue of pelvis,Ben neo soft tis pelvis
2157,"Other benign neoplasm of connective and other soft tissue of trunk, unspecified",Benign neo trunk NOS
2158,Other benign neoplasm of connective and other soft tissue of other specified sites,Ben neo soft tissue NEC
2159,"Other benign neoplasm of connective and other soft tissue, site unspecified",Ben neo soft tissue NOS
2160,Benign neoplasm of skin of lip,Benign neo skin lip
2161,"Benign neoplasm of eyelid, including canthus",Benign neo skin eyelid
