NOTE: New codes are introduced in October and old codes are phased out in September.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION','OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'24930','50   ','DiabMel w/cm',"SEC DM OT CMA NT ST UNCN (Begin 2008)",' ',' '
'24931','50   ','DiabMel w/cm',"SEC DM OTH COMA UNCNTRLD (Begin 2008)",' ',' '
'24940','50   ','DiabMel w/cm',"SEC DM RENL NT ST UNCNTR (Begin 2008)",' ',' '
'24941','50   ','DiabMel w/cm',"SEC DM RENAL UNCONTRLD (Begin 2008)",' ',' '
'24950','50   ','DiabMel w/cm',"SEC DM OPHTH NT ST UNCN (Begin 2008)",' ',' '
'24951','50   ','DiabMel w/cm',"SEC DM OPHTH UNCONTRLD (Begin 2008)",' ',' '
'24960','50   ','DiabMel w/cm',"SEC DM NEURO NT ST UNCN (Begin 2008)",' ',' '
'24961','50   ','DiabMel w/cm',"SEC DM NEURO UNCONTRLD (Begin 2008)",' ',' '
'24970','50   ','DiabMel w/cm',"SEC DM CIRC NT ST UNCNTR (Begin 2008)",' ',' '
'24971','50   ','DiabMel w/cm',"SEC DM CIRC UNCONTRLD (Begin 2008)",' ',' '
'24980','50   ','DiabMel w/cm',"SEC DM OTH NT ST UNCONTR (Begin 2008)",' ',' '
'24981','50   ','DiabMel w/cm',"SEC DM OTHER UNCONTRLD (Begin 2008)",' ',' '
'24990','50   ','DiabMel w/cm',"SEC DM UNSP NT ST UNCON (Begin 2008)",' ',' '
'24991','50   ','DiabMel w/cm',"SEC DM UNSP UNCONTROLD (Begin 2008)",' ',' '
'25002','50   ','DiabMel w/cm',"DIABETES MELL TYPE II UNCONT (Begin 1993)",' ',' '
'25003','50   ','DiabMel w/cm',"DIABETES MELL TYPE I UNCONT (Begin 1993)",' ',' '
'25010','50   ','DiabMel w/cm',"DIAB KETOACIDOSIS TYP II",' ',' '
'25011','50   ','DiabMel w/cm',"DIAB KETOACIDOSIS TYPE I",' ',' '
'25012','50   ','DiabMel w/cm',"DIAB KETOACID TYPE I DM UNCONT (Begin 1993)",' ',' '
'25013','50   ','DiabMel w/cm',"DIAB KETOACID TYPE I DM UNCONT (Begin 1993)",' ',' '
'25020','50   ','DiabMel w/cm',"DM HYPEROSM COMA TYPE II",' ',' '
'25021','50   ','DiabMel w/cm',"DM HYPEROSM COMA TYPE I",' ',' '
'25022','50   ','DiabMel w/cm',"DM W/ HYPEROSMO TYPE II DM UNCONT (Begin 1993)",' ',' '
'25023','50   ','DiabMel w/cm',"DM W/ HYPEROSMO TYPE I DM UNCONT (Begin 1993)",' ',' '
'25030','50   ','DiabMel w/cm',"DIABETES COMA NEC TYP II",' ',' '
'25031','50   ','DiabMel w/cm',"DIABETES COMA NEC TYPE I",' ',' '
'25032','50   ','DiabMel w/cm',"DIAB COMA NEC TYP II DM UNCONT (Begin 1993)",' ',' '
'25033','50   ','DiabMel w/cm',"DIAB COMA NEC TYPE I DM UNCONT (Begin 1993)",' ',' '
'25040','50   ','DiabMel w/cm',"DIAB RENAL MANIF TYPE II",' ',' '
'25041','50   ','DiabMel w/cm',"DIAB RENAL MANIF TYPE I",' ',' '
'25042','50   ','DiabMel w/cm',"DIAB RENAL MANIF TYPE II DM UNCONT (Begin 1993)",' ',' '
'25043','50   ','DiabMel w/cm',"DIAB RENAL MANIF TYPE I DM UNCONT (Begin 1993)",' ',' '
'25050','50   ','DiabMel w/cm',"DIAB EYE MANIF TYPE II",' ',' '
'25051','50   ','DiabMel w/cm',"DIAB EYE MANIF TYPE I",' ',' '
'25052','50   ','DiabMel w/cm',"DIAB EYE MANIF TYPE II DM UNCONT (Begin 1993)",' ',' '
'25053','50   ','DiabMel w/cm',"DIAB EYE MANIF TYPE I DM UNCONT (Begin 1993)",' ',' '
'25060','50   ','DiabMel w/cm',"DIAB NEURO MANIF TYPE II",' ',' '
'25061','50   ','DiabMel w/cm',"DIAB NEURO MANIF TYPE I",' ',' '
'25062','50   ','DiabMel w/cm',"DIAB NEURO MANIF TYPE II DM UNCONT (Begin 1993)",' ',' '
'25063','50   ','DiabMel w/cm',"DIAB NEURO MANIF TYPE I DM UNCONT (Begin 1993)",' ',' '
'25070','50   ','DiabMel w/cm',"DIAB CIRCULAT DIS TYP II",' ',' '
'25071','50   ','DiabMel w/cm',"DIAB CIRCULAT DIS TYPE I",' ',' '
'25072','50   ','DiabMel w/cm',"DIAB CIRCULAT DIS TYP II DM UNCONT (Begin 1993)",' ',' '
'25073','50   ','DiabMel w/cm',"DIAB CIRCULAT DIS TYPE I DM UNCONT (Begin 1993)",' ',' '
'25080','50   ','DiabMel w/cm',"DIAB W MANIF NEC TYPE II",' ',' '
'25081','50   ','DiabMel w/cm',"DIAB W MANIF NEC TYPE I",' ',' '
'25082','50   ','DiabMel w/cm',"DIAB W MANIF NEC TYPE II DM UNCONT (Begin 1993)",' ',' '
'25083','50   ','DiabMel w/cm',"DIAB W MANIF NEC TYPE I DM UNCONT (Begin 1993)",' ',' '
'25090','50   ','DiabMel w/cm',"DIAB W COMPL NOS TYPE II",' ',' '
'25091','50   ','DiabMel w/cm',"DIAB W COMPL NOS TYPE I",' ',' '
'25092','50   ','DiabMel w/cm',"DIAB W COMPL NOS TYPE II DM UNCONT (Begin 1993)",' ',' '
'25093','50   ','DiabMel w/cm',"DIAB W COMPL NOS TYPE I DM UNCONT (Begin 1993)",' ',' '
'2510 ','51   ','Ot endo dsor',"HYPOGLYCEMIC COMA",' ',' '
'2511 ','51   ','Ot endo dsor',"HYPERINSULINISM NEC",' ',' '
'2512 ','51   ','Ot endo dsor',"HYPOGLYCEMIA NOS",' ',' '
'2513 ','51   ','Ot endo dsor',"POSTSURG HYPOINSULINEMIA",' ',' '
'2514 ','51   ','Ot endo dsor',"ABN SECRETION GLUCAGON",' ',' '
'2515 ','51   ','Ot endo dsor',"ABNORM SECRETION GASTRIN",' ',' '
'2518 ','51   ','Ot endo dsor',"PANCREATIC DISORDER NEC",' ',' '
'2519 ','51   ','Ot endo dsor',"PANCREATIC DISORDER NOS",' ',' '
'2520 ','51   ','Ot endo dsor',"HYPERPARATHYROIDISM (End 2004)",' ',' '
'25200','51   ','Ot endo dsor',"HYPERPARATHYROIDISM NOS (Begin 2004)",' ',' '
'25201','51   ','Ot endo dsor',"PRIMARY HYPERPARATHYROID (Begin 2004)",' ',' '
'25202','51   ','Ot endo dsor',"SEC HYPRPRTHYRD NONRENAL (Begin 2004)",' ',' '
'25208','51   ','Ot endo dsor',"HYPERPARATHYROIDISM NEC (Begin 2004)",' ',' '
'2521 ','51   ','Ot endo dsor',"HYPOPARATHYROIDISM",' ',' '
'2528 ','51   ','Ot endo dsor',"PARATHYROID DISORDER NEC",' ',' '
'2529 ','51   ','Ot endo dsor',"PARATHYROID DISORDER NOS",' ',' '
'2530 ','51   ','Ot endo dsor',"ACROMEGALY AND GIGANTISM",' ',' '
'2531 ','51   ','Ot endo dsor',"ANT PITUIT HYPERFUNC NEC",' ',' '
'2532 ','51   ','Ot endo dsor',"PANHYPOPITUITARISM",' ',' '
'2533 ','51   ','Ot endo dsor',"PITUITARY DWARFISM",' ',' '
'2534 ','51   ','Ot endo dsor',"ANTER PITUITARY DIS NEC",' ',' '
'2535 ','51   ','Ot endo dsor',"DIABETES INSIPIDUS",' ',' '
'2536 ','51   ','Ot endo dsor',"NEUROHYPOPHYSIS DIS NEC",' ',' '
'2537 ','51   ','Ot endo dsor',"IATROGENIC PITUITARY DIS",' ',' '
'2538 ','51   ','Ot endo dsor',"PITUITARY DISORDER NEC",' ',' '
'2539 ','51   ','Ot endo dsor',"PITUITARY DISORDER NOS",' ',' '
'2540 ','51   ','Ot endo dsor',"PERSIST HYPERPLAS THYMUS",' ',' '
'2541 ','51   ','Ot endo dsor',"ABSCESS OF THYMUS",' ',' '
'2548 ','51   ','Ot endo dsor',"DISEASES OF THYMUS NEC",' ',' '
'2549 ','51   ','Ot endo dsor',"DISEASE OF THYMUS NOS",' ',' '
'2550 ','51   ','Ot endo dsor',"CUSHING-s SYNDROME",' ',' '
'2551 ','51   ','Ot endo dsor',"HYPERALDOSTERONISM (End 2003)",' ',' '
'25510','51   ','Ot endo dsor',"PRIMARY ALDOSTERONISM (Begin 2003)",' ',' '
'25511','51   ','Ot endo dsor',"GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM (Begin 2003)",' ',' '
'25512','51   ','Ot endo dsor',"CONNS SYNDROME (Begin 2003)",' ',' '
'25513','51   ','Ot endo dsor',"BARTTERS SYNDROME (Begin 2003)",' ',' '
'25514','51   ','Ot endo dsor',"OTHER SECONDARY ALDOSTERONISM (Begin 2003)",' ',' '
'2552 ','51   ','Ot endo dsor',"ADRENOGENITAL DISORDERS",' ',' '
'2553 ','51   ','Ot endo dsor',"CORTICOADREN OVERACT NEC",' ',' '
'2554 ','51   ','Ot endo dsor',"CORTICOADRENAL INSUFFIC (end 2007)",' ',' '
'25541','51   ','Ot endo dsor',"GLUCOCORTICOID DEFICIENT (Begin 2007)",' ',' '
'25542','51   ','Ot endo dsor',"MINERALCORTICOID DEFCNT (Begin 2007)",' ',' '
'2555 ','51   ','Ot endo dsor',"ADRENAL HYPOFUNCTION NEC",' ',' '
'2556 ','51   ','Ot endo dsor',"MEDULLOADRENAL HYPERFUNC",' ',' '
'2558 ','51   ','Ot endo dsor',"ADRENAL DISORDER NEC",' ',' '
'2559 ','51   ','Ot endo dsor',"ADRENAL DISORDER NOS",' ',' '
'2560 ','51   ','Ot endo dsor',"HYPERESTROGENISM",' ',' '
'2561 ','51   ','Ot endo dsor',"OVARIAN HYPERFUNC NEC",' ',' '
'2562 ','51   ','Ot endo dsor',"POSTABLATIV OVARIAN FAIL",' ',' '
'2563 ','51   ','Ot endo dsor',"OVARIAN FAILURE NEC (End 2001)",' ',' '
'2564 ','51   ','Ot endo dsor',"POLYCYSTIC OVARIES",' ',' '
'2568 ','51   ','Ot endo dsor',"OVARIAN DYSFUNCTION NEC",' ',' '
'2569 ','51   ','Ot endo dsor',"OVARIAN DYSFUNCTION NOS",' ',' '
'2570 ','51   ','Ot endo dsor',"TESTICULAR HYPERFUNCTION",' ',' '
'2571 ','51   ','Ot endo dsor',"POSTABLAT TESTIC HYPOFUN",' ',' '
'2572 ','51   ','Ot endo dsor',"TESTICULAR HYPOFUNC NEC",' ',' '
'2578 ','51   ','Ot endo dsor',"TESTICULAR DYSFUNCT NEC",' ',' '
'2579 ','51   ','Ot endo dsor',"TESTICULAR DYSFUNCT NOS",' ',' '
'2580 ','51   ','Ot endo dsor',"WERMER-s SYNDROME (end 2007)",' ',' '
'25801','51   ','Ot endo dsor',"MULT ENDO NEOPLAS TYPE I (Begin 2007)",' ',' '
'2581 ','51   ','Ot endo dsor',"COMB ENDOCR DYSFUNCT NEC",' ',' '
'2588 ','51   ','Ot endo dsor',"POLYGLANDUL DYSFUNC NEC",' ',' '
'2589 ','51   ','Ot endo dsor',"POLYGLANDUL DYSFUNC NOS",' ',' '
'2590 ','51   ','Ot endo dsor',"DELAY SEXUAL DEVELOP NEC",' ',' '
'2591 ','51   ','Ot endo dsor',"SEXUAL PRECOCITY NEC",' ',' '
'2592 ','51   ','Ot endo dsor',"CARCINOID SYNDROME",' ',' '
'2593 ','51   ','Ot endo dsor',"ECTOPIC HORMONE SECR NEC",' ',' '
'2594 ','51   ','Ot endo dsor',"DWARFISM NEC",' ',' '
'2595 ','51   ','Ot endo dsor',"ANDROGEN INSENSITVTY SYN (Begin 2005) (end 2008)",' ',' '
'25950','51   ','Ot endo dsor',"ANDROGEN INSENSITVTY NOS (Begin 2008)",' ',' '
'25951','51   ','Ot endo dsor',"ANDROGEN INSENSITVTY SYN (Begin 2008)",' ',' '
'25952','51   ','Ot endo dsor',"PART ANDROGEN INSNSITVTY (Begin 2008)",' ',' '
'2598 ','51   ','Ot endo dsor',"ENDOCRINE DISORDERS NEC",' ',' '
'2599 ','51   ','Ot endo dsor',"ENDOCRINE DISORDER NOS",' ',' '
'7946 ','51   ','Ot endo dsor',"ABN ENDOCRINE STUDY NEC",' ',' '
'260  ','52   ','Nutrit defic',"KWASHIORKOR",' ',' '
'261  ','52   ','Nutrit defic',"NUTRITIONAL MARASMUS",' ',' '
'262  ','52   ','Nutrit defic',"OTH SEVERE MALNUTRITION",' ',' '
'2630 ','52   ','Nutrit defic',"MALNUTRITION MOD DEGREE",' ',' '
'2631 ','52   ','Nutrit defic',"MALNUTRITION MILD DEGREE",' ',' '
'2632 ','52   ','Nutrit defic',"ARREST DEVEL D/T MALNUTR",' ',' '
'2638 ','52   ','Nutrit defic',"PROTEIN-CAL MALNUTR NEC",' ',' '
'2639 ','52   ','Nutrit defic',"PROTEIN-CAL MALNUTR NOS",' ',' '
'2640 ','52   ','Nutrit defic',"VIT A CONJUNCTIV XEROSIS",' ',' '
'2641 ','52   ','Nutrit defic',"VIT A BITOT-s SPOT",' ',' '
'2642 ','52   ','Nutrit defic',"VIT A CORNEAL XEROSIS",' ',' '
'2643 ','52   ','Nutrit defic',"VIT A CORNEA ULCER/XEROS",' ',' '
'2644 ','52   ','Nutrit defic',"VIT A KERATOMALACIA",' ',' '
'2645 ','52   ','Nutrit defic',"VIT A NIGHT BLINDNESS",' ',' '
'2646 ','52   ','Nutrit defic',"VIT A DEF W CORNEAL SCAR",' ',' '
'2647 ','52   ','Nutrit defic',"VIT A OCULAR DEFIC NEC",' ',' '
'2648 ','52   ','Nutrit defic',"VITAMIN A DEFICIENCY NEC",' ',' '
'2649 ','52   ','Nutrit defic',"VITAMIN A DEFICIENCY NOS",' ',' '
'2650 ','52   ','Nutrit defic',"BERIBERI",' ',' '
'2651 ','52   ','Nutrit defic',"THIAMINE DEFIC NEC/NOS",' ',' '
'2652 ','52   ','Nutrit defic',"PELLAGRA",' ',' '
'2660 ','52   ','Nutrit defic',"ARIBOFLAVINOSIS",' ',' '
'2661 ','52   ','Nutrit defic',"VITAMIN B6 DEFICIENCY",' ',' '
'2662 ','52   ','Nutrit defic',"B-COMPLEX DEFIC NEC",' ',' '
'2669 ','52   ','Nutrit defic',"VITAMIN B DEFICIENCY NOS",' ',' '
'267  ','52   ','Nutrit defic',"ASCORBIC ACID DEFICIENCY",' ',' '
'2680 ','52   ','Nutrit defic',"RICKETS- ACTIVE",' ',' '
'2681 ','52   ','Nutrit defic',"RICKETS- LATE EFFECT",' ',' '
'2682 ','52   ','Nutrit defic',"OSTEOMALACIA NOS",' ',' '
'2689 ','52   ','Nutrit defic',"VITAMIN D DEFICIENCY NOS",' ',' '
'2690 ','52   ','Nutrit defic',"DEFICIENCY OF VITAMIN K",' ',' '
'2691 ','52   ','Nutrit defic',"VITAMIN DEFICIENCY NEC",' ',' '
'2692 ','52   ','Nutrit defic',"VITAMIN DEFICIENCY NOS",' ',' '
'2693 ','52   ','Nutrit defic',"MINERAL DEFICIENCY NEC",' ',' '
'2698 ','52   ','Nutrit defic',"NUTRITION DEFICIENCY NEC",' ',' '
'2699 ','52   ','Nutrit defic',"NUTRITION DEFICIENCY NOS",' ',' '
'7994 ','52   ','Nutrit defic',"CACHEXIA",' ',' '
'V121 ','52   ','Nutrit defic',"HX-NUTRITION DEFICIENCY",' ',' '
'2720 ','53   ','Hyperlipidem',"PURE HYPERCHOLESTEROLEM",' ',' '
'2721 ','53   ','Hyperlipidem',"PURE HYPERGLYCERIDEMIA",' ',' '
'2722 ','53   ','Hyperlipidem',"MIXED HYPERLIPIDEMIA",' ',' '
'2723 ','53   ','Hyperlipidem',"HYPERCHYLOMICRONEMIA",' ',' '
'2724 ','53   ','Hyperlipidem',"HYPERLIPIDEMIA NEC/NOS",' ',' '
'2740 ','54   ','Gout/ot crys',"GOUTY ARTHROPATHY (end 2009)",' ',' '
'27400','54   ','Gout/ot crys',"Gouty arthropathy NOS (Begin 2009)",' ',' '
'27401','54   ','Gout/ot crys',"Acute gouty arthropathy (Begin 2009)",' ',' '
'27402','54   ','Gout/ot crys',"Chr gouty atrph wo tophi (Begin 2009)",' ',' '
'27403','54   ','Gout/ot crys',"Chr gouty atroph w tophi (Begin 2009)",' ',' '
'27410','54   ','Gout/ot crys',"GOUTY NEPHROPATHY NOS",' ',' '
'27411','54   ','Gout/ot crys',"URIC ACID NEPHROLITHIAS",' ',' '
'27419','54   ','Gout/ot crys',"GOUTY NEPHROPATHY NEC",' ',' '
'27481','54   ','Gout/ot crys',"GOUTY TOPHI OF EAR",' ',' '
'27482','54   ','Gout/ot crys',"GOUTY TOPHI SITE NEC",' ',' '
'27489','54   ','Gout/ot crys',"GOUT W MANIFESTATION NEC",' ',' '
'2749 ','54   ','Gout/ot crys',"GOUT NOS",' ',' '
'71210','54   ','Gout/ot crys',"DICALC PHOS CRYST-UNSPEC",' ',' '
'71211','54   ','Gout/ot crys',"DICALC PHOS CRYST-SHLDER",' ',' '
'71212','54   ','Gout/ot crys',"DICALC PHOS CRYST-UP/ARM",' ',' '
'71213','54   ','Gout/ot crys',"DICALC PHOS CRYS-FOREARM",' ',' '
'71214','54   ','Gout/ot crys',"DICALC PHOS CRYST-HAND",' ',' '
'71215','54   ','Gout/ot crys',"DICALC PHOS CRYST-PELVIS",' ',' '
'71216','54   ','Gout/ot crys',"DICALC PHOS CRYST-L/LEG",' ',' '
'71217','54   ','Gout/ot crys',"DICALC PHOS CRYST-ANKLE",' ',' '
'71218','54   ','Gout/ot crys',"DICALC PHOS CRY-SITE NEC",' ',' '
'71219','54   ','Gout/ot crys',"DICALC PHOS CRYST-MULT",' ',' '
'71220','54   ','Gout/ot crys',"PYROPHOSPH CRYST-UNSPEC",' ',' '
'71221','54   ','Gout/ot crys',"PYROPHOSPH CRYST-SHLDER",' ',' '
'71222','54   ','Gout/ot crys',"PYROPHOSPH CRYST-UP/ARM",' ',' '
'71223','54   ','Gout/ot crys',"PYROPHOSPH CRYST-FOREARM",' ',' '
'71224','54   ','Gout/ot crys',"PYROPHOSPH CRYST-HAND",' ',' '
'71225','54   ','Gout/ot crys',"PYROPHOSPH CRYST-PELVIS",' ',' '
'71226','54   ','Gout/ot crys',"PYROPHOSPH CRYST-L/LEG",' ',' '
'71227','54   ','Gout/ot crys',"PYROPHOSPH CRYST-ANKLE",' ',' '
'71228','54   ','Gout/ot crys',"PYROPHOS CRYST-SITE NEC",' ',' '
'71229','54   ','Gout/ot crys',"PYROPHOS CRYST-MULT",' ',' '
'71230','54   ','Gout/ot crys',"CHONDROCALCIN NOS-UNSPEC",' ',' '
'71231','54   ','Gout/ot crys',"CHONDROCALCIN NOS-SHLDER",' ',' '
'71232','54   ','Gout/ot crys',"CHONDROCALCIN NOS-UP/ARM",' ',' '
'71233','54   ','Gout/ot crys',"CHONDROCALC NOS-FOREARM",' ',' '
'71234','54   ','Gout/ot crys',"CHONDROCALCIN NOS-HAND",' ',' '
'71235','54   ','Gout/ot crys',"CHONDROCALCIN NOS-PELVIS",' ',' '
'71236','54   ','Gout/ot crys',"CHONDROCALCIN NOS-L/LEG",' ',' '
'71237','54   ','Gout/ot crys',"CHONDROCALCIN NOS-ANKLE",' ',' '
'71238','54   ','Gout/ot crys',"CHONDROCALC NOS-OTH SITE",' ',' '
'71239','54   ','Gout/ot crys',"CHONDROCALCIN NOS-MULT",' ',' '
'71280','54   ','Gout/ot crys',"CRYST ARTHROP NEC-UNSPEC",' ',' '
'71281','54   ','Gout/ot crys',"CRYST ARTHROP NEC-SHLDER",' ',' '
'71282','54   ','Gout/ot crys',"CRYST ARTHROP NEC-UP/ARM",' ',' '
'71283','54   ','Gout/ot crys',"CRYS ARTHROP NEC-FOREARM",' ',' '
'71284','54   ','Gout/ot crys',"CRYST ARTHROP NEC-HAND",' ',' '
'71285','54   ','Gout/ot crys',"CRYST ARTHROP NEC-PELVIS",' ',' '
'71286','54   ','Gout/ot crys',"CRYST ARTHROP NEC-L/LEG",' ',' '
'71287','54   ','Gout/ot crys',"CRYST ARTHROP NEC-ANKLE",' ',' '
'71288','54   ','Gout/ot crys',"CRY ARTHROP NEC-OTH SITE",' ',' '
'71289','54   ','Gout/ot crys',"CRYST ARTHROP NEC-MULT",' ',' '
'71290','54   ','Gout/ot crys',"CRYST ARTHROP NOS-UNSPEC",' ',' '
'71291','54   ','Gout/ot crys',"CRYST ARTHROP NOS-SHLDR",' ',' '
'71292','54   ','Gout/ot crys',"CRYST ARTHROP NOS-UP/ARM",' ',' '
'71293','54   ','Gout/ot crys',"CRYS ARTHROP NOS-FOREARM",' ',' '
'71294','54   ','Gout/ot crys',"CRYST ARTHROP NOS-HAND",' ',' '
'71295','54   ','Gout/ot crys',"CRYST ARTHROP NOS-PELVIS",' ',' '
'71296','54   ','Gout/ot crys',"CRYST ARTHROP NOS-L/LEG",' ',' '
'71297','54   ','Gout/ot crys',"CRYST ARTHROP NOS-ANKLE",' ',' '
'71298','54   ','Gout/ot crys',"CRY ARTHROP NOS-OTH SITE",' ',' '
'71299','54   ','Gout/ot crys',"CRYST ARTHROP NOS-MULT",' ',' '
'2760 ','55   ','Fluid/elc dx',"HYPEROSMOLALITY",' ',' '
'2761 ','55   ','Fluid/elc dx',"HYPOSMOLALITY",' ',' '
'2762 ','55   ','Fluid/elc dx',"ACIDOSIS",' ',' '
'2763 ','55   ','Fluid/elc dx',"ALKALOSIS",' ',' '
'2764 ','55   ','Fluid/elc dx',"MIXED ACID-BASE BAL DIS",' ',' '
'2765 ','55   ','Fluid/elc dx',"HYPOVOLEMIA (End 2005)",' ',' '
'27650','55   ','Fluid/elc dx',"VOLUME DEPLETION NOS (Begin 2005)",' ',' '
'27651','55   ','Fluid/elc dx',"DEHYDRATION (Begin 2005)",' ',' '
'27652','55   ','Fluid/elc dx',"HYPOVOLEMIA (Begin 2005)",' ',' '
'2766 ','55   ','Fluid/elc dx',"FLUID OVERLOAD (end 2010)",' ',' '
'27669','55   ','Fluid/elc dx',"Fluid overload NEC (Begin 2010)",' ',' '
'2767 ','55   ','Fluid/elc dx',"HYPERPOTASSEMIA",' ',' '
'2768 ','55   ','Fluid/elc dx',"HYPOPOTASSEMIA",' ',' '
'2769 ','55   ','Fluid/elc dx',"ELECTROLYT/FLUID DIS NEC",' ',' '
'9951 ','55   ','Fluid/elc dx',"ANGIONEUROTIC EDEMA",' ',' '
'27700','56   ','Cystic fibro',"CYSTIC FIBROS W/O ILEUS",' ',' '
'27701','56   ','Cystic fibro',"CYSTIC FIBROSIS W ILEUS-",' ',' '
'27702','56   ','Cystic fibro',"CYSTIC FIBROSIS W PULM MANFSTATNS (Begin 2002)",' ',' '
'27703','56   ','Cystic fibro',"CYSTIC FIBROSIS W GASTRO MANFSTATNS (Begin 2002)",' ',' '
'27709','56   ','Cystic fibro',"CYSTIC FIBROSIS W OTHER MANFSTATNS (Begin 2002)",' ',' '
'27900','57   ','Immunity dx',"HYPOGAMMAGLOBULINEM NOS",' ',' '
'27901','57   ','Immunity dx',"SELECTIVE IGA IMMUNODEF",' ',' '
'27902','57   ','Immunity dx',"SELECTIVE IGM IMMUNODEF",' ',' '
'27903','57   ','Immunity dx',"SELECTIVE IG DEFIC NEC",' ',' '
'27904','57   ','Immunity dx',"CONG HYPOGAMMAGLOBULINEM",' ',' '
'27905','57   ','Immunity dx',"IMMUNODEFIC W HYPER-IGM",' ',' '
'27906','57   ','Immunity dx',"COMMON VARIABL IMMUNODEF",' ',' '
'27909','57   ','Immunity dx',"HUMORAL IMMUNITY DEF NEC",' ',' '
'27911','57   ','Immunity dx',"DIGEORGE-s SYNDROME",' ',' '
'27912','57   ','Immunity dx',"WISKOTT-ALDRICH SYNDROME",' ',' '
'27913','57   ','Immunity dx',"NEZELOF-s SYNDROME",' ',' '
'2792 ','57   ','Immunity dx',"COMBINED IMMUNITY DEFIC",' ',' '
'2793 ','57   ','Immunity dx',"IMMUNITY DEFICIENCY NOS",' ',' '
'2794 ','57   ','Immunity dx',"AUTOIMMUNE DISEASE NEC (end 2009)",' ',' '
'27941','57   ','Immunity dx',"Autoimmun lymphprof synd (Begin 2009)",' ',' '
'27949','57   ','Immunity dx',"Autoimmune disease NEC (Begin 2009)",' ',' '
'2798 ','57   ','Immunity dx',"IMMUNE MECHANISM DIS NEC",' ',' '
'2799 ','57   ','Immunity dx',"IMMUNE MECHANISM DIS NOS",' ',' '
'2700 ','58   ','Ot nutrit dx',"AMINO-ACID TRANSPORT DIS",' ',' '
'2701 ','58   ','Ot nutrit dx',"PHENYLKETONURIA - PKU",' ',' '
'2702 ','58   ','Ot nutrit dx',"AROM AMIN-ACID METAB NEC",' ',' '
'2703 ','58   ','Ot nutrit dx',"BRAN-CHAIN AMIN-ACID DIS",' ',' '
'2704 ','58   ','Ot nutrit dx',"SULPH AMINO-ACID MET DIS",' ',' '
'2705 ','58   ','Ot nutrit dx',"DIS HISTIDINE METABOLISM",' ',' '
'2706 ','58   ','Ot nutrit dx',"DIS UREA CYCLE METABOL",' ',' '
'2707 ','58   ','Ot nutrit dx',"STRAIG AMIN-ACID MET NEC",' ',' '
'2708 ','58   ','Ot nutrit dx',"DIS AMINO-ACID METAB NEC",' ',' '
'2709 ','58   ','Ot nutrit dx',"DIS AMINO-ACID METAB NOS",' ',' '
'2710 ','58   ','Ot nutrit dx',"GLYCOGENOSIS",' ',' '
'2711 ','58   ','Ot nutrit dx',"GALACTOSEMIA",' ',' '
'2712 ','58   ','Ot nutrit dx',"HERED FRUCTOSE INTOLERAN",' ',' '
'2713 ','58   ','Ot nutrit dx',"DISACCHARIDASE DEF/MALAB",' ',' '
'2714 ','58   ','Ot nutrit dx',"RENAL GLYCOSURIA",' ',' '
'2718 ','58   ','Ot nutrit dx',"DIS CARBOHYDR METAB NEC",' ',' '
'2719 ','58   ','Ot nutrit dx',"DIS CARBOHYDR METAB NOS",' ',' '
'2725 ','58   ','Ot nutrit dx',"LIPOPROTEIN DEFICIENCIES",' ',' '
'2726 ','58   ','Ot nutrit dx',"LIPODYSTROPHY",' ',' '
'2727 ','58   ','Ot nutrit dx',"LIPIDOSES",' ',' '
'2728 ','58   ','Ot nutrit dx',"LIPOID METABOL DIS NEC",' ',' '
'2729 ','58   ','Ot nutrit dx',"LIPOID METABOL DIS NOS",' ',' '
'2730 ','58   ','Ot nutrit dx',"POLYCLON HYPERGAMMAGLOBU",' ',' '
'2731 ','58   ','Ot nutrit dx',"MONOCLON PARAPROTEINEMIA",' ',' '
'2732 ','58   ','Ot nutrit dx',"PARAPROTEINEMIA NEC",' ',' '
'2733 ','58   ','Ot nutrit dx',"MACROGLOBULINEMIA",' ',' '
'2734 ','58   ','Ot nutrit dx',"ALPHA-1-ANTITRYPSIN DEF (Begin 2004)",' ',' '
'2738 ','58   ','Ot nutrit dx',"DIS PLAS PROTEIN MET NEC",' ',' '
'2739 ','58   ','Ot nutrit dx',"DIS PLAS PROTEIN MET NOS",' ',' '
'2750 ','58   ','Ot nutrit dx',"DIS IRON METABOLISM (end 2010)",' ',' '
'27501','58   ','Ot nutrit dx',"Heredit hemochromatosis (Begin 2010)",' ',' '
'27502','58   ','Ot nutrit dx',"Hemochromatos-rbc trans (Begin 2010)",' ',' '
'27503','58   ','Ot nutrit dx',"Hemochromatosis NEC (Begin 2010)",' ',' '
'27509','58   ','Ot nutrit dx',"Disord iron metablsm NEC (Begin 2010)",' ',' '
'2751 ','58   ','Ot nutrit dx',"DIS COPPER METABOLISM",' ',' '
'2752 ','58   ','Ot nutrit dx',"DIS MAGNESIUM METABOLISM",' ',' '
'2753 ','58   ','Ot nutrit dx',"DIS PHOSPHORUS METABOL",' ',' '
'2754 ','58   ','Ot nutrit dx',"DIS CALCIUM METABOLISM (End 1997)",' ',' '
